neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;availability_365;number_of_reviews_ltm
De Baarsjes - Oud-West;5.236.603;486.833;Entire home/apt;125;7;55;0;3
Centrum-Oost;5.237.309;490.845;Private room;175;2;398;195;22
Watergraafsmeer;5.235.339;494.237;Entire home/apt;250;5;8;0;3
Gaasperdam - Driemond;5.230.573;501.471;Private room;41;2;56;300;3
De Pijp - Rivierenbuurt;5.235.174;489.701;Entire home/apt;85;5;12;0;0
Bos en Lommer;5.237.871;484.688;Private room;85;4;322;113;13
Bos en Lommer;5.237.784;486.178;Entire home/apt;287;2;17;64;5
Westerpark;5.239.054;488.886;Entire home/apt;500;3;26;342;0
Zuid;523.537;488.632;Entire home/apt;102;2;25;0;0
Bos en Lommer;5.237.802;484.513;Private room;89;1;297;66;21
Bijlmer-Centrum;5.231.774;494.647;Private room;55;1;472;288;75
Bos en Lommer;5.238.231;484.866;Entire home/apt;75;3;76;0;0
Centrum-West;5.238.295;488.854;Entire home/apt;100;7;46;248;13
De Pijp - Rivierenbuurt;5.234.227;491.217;Entire home/apt;99;6;63;93;4
De Baarsjes - Oud-West;5.236.042;486.161;Entire home/apt;285;3;49;0;0
Oud-Oost;5.235.823;492.035;Entire home/apt;295;4;12;229;2
De Pijp - Rivierenbuurt;5.235.043;490.079;Entire home/apt;120;4;43;0;1
Oud-Noord;5.239.259;491.565;Entire home/apt;90;4;7;6;6
Zuid;52.352.463;4.852.365;Entire home/apt;363;3;66;10;6
De Baarsjes - Oud-West;5.236.501;487.918;Entire home/apt;550;3;42;86;5
Oud-Noord;5.238.827;494.617;Entire home/apt;152;2;371;128;68
Oostelijk Havengebied - Indische Buurt;523.639;493.817;Entire home/apt;80;2;22;0;0
De Baarsjes - Oud-West;52.367.088;4.863.511;Private room;150;2;425;267;48
De Baarsjes - Oud-West;5.237.006;485.853;Entire home/apt;170;8;73;101;7
De Baarsjes - Oud-West;5.235.936;486.001;Entire home/apt;233;4;53;2;4
Oud-Noord;5.238.418;490.779;Private room;79;2;453;248;49
Centrum-West;5.236.646;488.235;Entire home/apt;485;1;218;161;48
Oud-Noord;5.239.238;492.899;Entire home/apt;299;2;42;28;5
De Pijp - Rivierenbuurt;5.235.263;489.093;Entire home/apt;300;3;48;59;1
De Baarsjes - Oud-West;5.236.647;485.138;Entire home/apt;180;5;27;0;0
Centrum-West;52.383;489.161;Entire home/apt;170;3;76;0;3
Centrum-Oost;5.236.689;491.809;Entire home/apt;250;2;38;0;0
De Baarsjes - Oud-West;5.236.062;486.901;Entire home/apt;299;3;32;0;4
Bos en Lommer;5.237.537;486.019;Private room;138;3;341;245;26
Noord-West;5.242.397;488.864;Hotel room;82;2;321;244;4
De Baarsjes - Oud-West;5.237.108;487.389;Entire home/apt;280;4;33;0;1
Centrum-West;5.238.123;488.619;Entire home/apt;140;7;74;188;18
Centrum-West;5.238.145;48.849;Entire home/apt;264;7;120;46;14
Centrum-West;523.815;488.538;Entire home/apt;160;7;54;227;6
Centrum-West;523.814;488.553;Entire home/apt;157;7;36;273;4
Centrum-West;5.238.295;488.765;Entire home/apt;99;7;78;172;10
Westerpark;5.237.639;487.637;Entire home/apt;175;3;12;0;0
IJburg - Zeeburgereiland;5.234.861;500.784;Entire home/apt;193;3;18;253;2
